simTime,simDelta,xPos,yPos,zPos,speed,heading,steering,gas,brake,state1,state2,state3,state4,state5,state6,eulerX,eulerY,eulerZ,rpm,gear,leftBlinker,rightBlinker
207.8917,0.016666,6660.71,-409.2082,-0.5058745,66.3149,-179.4646,-10.62,10.14248,0,1,0,3956.804,3966.979,5.403543,9.24746,0.1240373,-0.1657133,-179.4646,2113.735,3,1,1
207.9084,0.016666,6660.216,-409.2133,-0.5058693,66.31303,-179.4747,-9.972,10.14248,0,1,0,3956.804,3966.979,5.403543,9.24746,0.1254903,-0.165774,-179.4747,2111.952,3,1,1
207.925,0.016666,6659.722,-409.2184,-0.5058645,66.31098,-179.4852,-9.36,10.14248,0,1,1,3957.867,3967.967,5.403319,9.257624,0.126777,-0.1659289,-179.4852,2111.726,3,1,1
207.9417,0.016666,6659.229,-409.2233,-0.50586,66.30882,-179.4962,-8.712,10.14248,0,1,1,3957.867,3967.967,5.403319,9.257624,0.1278606,-0.1661885,-179.4962,2112.349,3,1,1
207.9583,0.016666,6658.734,-409.2282,-0.5058562,66.30657,-179.5075,-8.099999,9.300164,0,1,1,3958.929,3968.955,5.402462,9.267513,0.1286974,-0.1665539,-179.5075,2105.308,3,1,1
207.975,0.016666,6658.24,-409.2331,-0.5058531,66.30421,-179.5191,-7.596,9.300164,0,1,1,3958.929,3968.955,5.402462,9.267513,0.1292432,-0.1670275,-179.5191,2098.919,3,1,1
207.9917,0.016666,6657.747,-409.2378,-0.5058506,66.30169,-179.5309,-7.164,9.300164,0,1,1,3959.992,3969.943,5.401171,9.277066,0.1294614,-0.1676189,-179.5309,2094.91,3,1,1
208.0083,0.016666,6657.252,-409.2425,-0.5058489,66.29898,-179.5428,-6.876,9.300164,0,1,1,3959.992,3969.943,5.401171,9.277066,0.1293215,-0.1683378,-179.5428,2092.938,3,1,1
208.025,0.016666,6656.759,-409.2471,-0.5058481,66.29612,-179.5547,-6.66,9.300164,0,1,1,3961.054,3970.931,5.399445,9.286345,0.1288021,-0.1691869,-179.5547,2092.408,3,1,1
208.0417,0.016666,6656.265,-409.2516,-0.5058479,66.29315,-179.5665,-6.516,9.300164,0,1,1,3961.054,3970.931,5.399445,9.286345,0.1278925,-0.17016,-179.5665,2092.726,3,1,1
208.0583,0.016666,6655.771,-409.256,-0.5058483,66.29011,-179.5782,-6.48,8.39047,0,1,1,3962.116,3971.919,5.397256,9.295319,0.1265969,-0.1712436,-179.5782,2084.928,3,1,1
208.075,0.016666,6655.277,-409.2604,-0.5058494,66.28696,-179.5896,-6.48,8.39047,0,1,1,3962.116,3971.919,5.397256,9.295319,0.12494,-0.1724277,-179.5896,2077.725,3,1,1
208.0917,0.016666,6654.783,-409.2647,-0.505851,66.28364,-179.6007,-6.588,8.39047,0,1,1,3963.178,3972.907,5.394572,9.303988,0.1229718,-0.1737113,-179.6007,2072.939,3,1,1
208.1083,0.016666,6654.29,-409.269,-0.5058531,66.28014,-179.6115,-6.732,8.39047,0,1,1,3963.178,3972.907,5.394572,9.303988,0.1207636,-0.1750945,-179.6115,2070.269,3,1,1
208.125,0.016666,6653.795,-409.2731,-0.5058554,66.27648,-179.6217,-6.947999,8.39047,0,1,1,3964.241,3973.895,5.391364,9.312381,0.1183967,-0.1765725,-179.6217,2069.172,3,1,1
208.1417,0.016666,6653.302,-409.2772,-0.5058582,66.27271,-179.6315,-7.199999,8.39047,0,1,1,3964.241,3973.895,5.391364,9.312381,0.1159556,-0.1781333,-179.6315,2069.082,3,1,1
208.1583,0.016666,6652.808,-409.2812,-0.5058612,66.26887,-179.6407,-7.452,7.379698,0,1,1,3965.302,3974.883,5.387606,9.3205,0.1135244,-0.1797584,-179.6407,2059.91,3,1,1
208.175,0.016666,6652.314,-409.2852,-0.5058644,66.26491,-179.6494,-7.704,7.379698,0,1,1,3965.302,3974.883,5.387606,9.3205,0.1111854,-0.1814341,-179.6494,2051.297,3,1,1
208.1917,0.016666,6651.821,-409.2891,-0.5058677,66.26077,-179.6575,-7.92,7.379698,0,1,1,3966.365,3975.87,5.383285,9.328344,0.1090185,-0.1831552,-179.6575,2045.253,3,1,1
208.2083,0.016666,6651.327,-409.2929,-0.5058712,66.25644,-179.6651,-8.099999,7.379698,0,1,1,3966.365,3975.87,5.383285,9.328344,0.107094,-0.1849189,-179.6651,2041.501,3,1,1
